2tita,d [A],suma_cuad,inv_suma_cuad,lambda [A],,Cambiamos de 45 a 46
"23,4827","3,78850099824913","1,73205080756888","0,577350269189626","1,541874",,
"27,2022","3,2783401285389",2,"0,5",,,
"38,8751","2,31666207023301","2,82842712474619","0,353553390593274",,,
"45,9665","1,97442256171552","3,3166247903554","0,301511344577764",,,
"48,1154","1,89114398451996","3,46410161513775","0,288675134594813",,,
"56,232","1,63591212079172",4,"0,25",,,
"63,5122","1,46481184965588","4,47213595499958","0,223606797749979",,,
"70,3863","1,33765520166623","4,89897948556636","0,204124145231932",,,
